Headline,Risk,Sector,Link
⚠️ Emerging Trend: CYCLONE DITWAH,15,Uncategorized,#
"Landslide strikes house in Nawalapitiya, killing three including an infant",25,Environmental,http://www.adaderana.lk/news.php?nid=115266
Kaduwela exit of Southern Expressway flooded; Motorists advised to use alternative routes,25,Environmental,http://www.adaderana.lk/news.php?nid=115264
"Cyclone Ditwah kills 56 in Sri Lanka, 21 missing as flood waters continue to rise",25,Environmental,https://economynext.com/cyclone-ditwah-kills-56-in-sri-lanka-21-missing-as-flood-waters-continue-to-rise-250492/
